epoch,time(s),train_loss,test_loss,test_error(%)
001,00055,1.974700,0.00171,62.83
002,00043,0.935609,0.00077,26.94
003,00047,0.892115,0.00068,23.35
004,00048,0.856406,0.00061,20.83
005,00056,0.836243,0.00063,20.76
006,00050,0.893180,0.00066,21.92
007,00061,0.897721,0.00065,21.33
008,00055,0.863071,0.00066,22.05
009,00063,0.884118,0.00072,25.19
010,00060,0.906264,0.00077,26.51
011,00052,0.902623,0.00064,20.85
012,00048,0.919378,0.00069,22.30
013,00050,0.924240,0.00066,21.30
014,00044,0.893032,0.00064,21.13
015,00050,0.864393,0.00065,20.98
016,00044,0.838617,0.00064,21.62
017,00047,0.921846,0.00070,22.49
018,00053,0.867024,0.00069,23.10
019,00049,0.886634,0.00066,21.74
020,00049,0.878050,0.00063,20.59
021,00046,0.861135,0.00074,24.57
022,00049,0.849412,0.00061,20.33
023,00048,0.822340,0.00063,20.94
024,00047,0.793324,0.00060,20.38
025,00056,0.834893,0.00060,19.64
026,00053,0.870440,0.00064,20.68
027,00048,0.829586,0.00066,22.19
028,00047,0.838349,0.00058,18.27
029,00044,0.784559,0.00058,19.31
030,00056,0.778353,0.00058,18.95
031,00056,0.816273,0.00061,19.84
032,00053,0.791544,0.00059,20.07
033,00050,0.790645,0.00059,19.82
034,00051,0.759528,0.00059,20.46
035,00053,0.762068,0.00059,20.59
036,00050,0.825791,0.00061,19.55
037,00051,0.788371,0.00059,19.50
038,00051,0.768447,0.00060,20.90
039,00051,0.786567,0.00056,18.84
040,00048,0.756765,0.00054,17.78
041,00048,0.769688,0.00061,20.51
042,00049,0.760094,0.00060,20.36
043,00052,0.754187,0.00053,16.92
044,00051,0.711129,0.00055,18.30
045,00053,0.718998,0.00053,17.90
046,00057,0.723343,0.00054,17.89
047,00046,0.725865,0.00055,18.70
048,00049,0.696662,0.00058,19.41
049,00054,0.704811,0.00051,16.77
050,00051,0.728813,0.00051,16.93
051,00053,0.695731,0.00053,17.45
052,00046,0.697699,0.00054,18.10
053,00056,0.705736,0.00052,17.08
054,00059,0.691258,0.00050,16.68
055,00059,0.671149,0.00049,16.46
056,00050,0.658252,0.00048,16.04
057,00057,0.679178,0.00052,16.10
058,00056,0.669720,0.00050,16.57
059,00048,0.691642,0.00047,15.87
060,00050,0.654323,0.00046,15.22
061,00046,0.675019,0.00046,14.86
062,00046,0.620566,0.00046,16.07
063,00040,0.598583,0.00045,15.36
064,00042,0.591221,0.00046,15.47
065,00043,0.597237,0.00045,14.98
066,00044,0.622714,0.00047,15.54
067,00046,0.586034,0.00044,14.78
068,00050,0.603577,0.00042,13.70
069,00051,0.570856,0.00041,13.51
070,00042,0.583774,0.00043,13.82
071,00044,0.582696,0.00042,14.20
072,00045,0.548713,0.00040,13.63
073,00050,0.532541,0.00043,14.10
074,00057,0.554770,0.00039,13.28
075,00063,0.522735,0.00039,13.44
076,00063,0.521999,0.00039,13.18
077,00063,0.498907,0.00039,12.75
078,00064,0.457294,0.00036,12.39
079,00063,0.481094,0.00037,12.73
080,00060,0.495726,0.00036,12.12
081,00060,0.487061,0.00036,12.23
082,00049,0.424367,0.00034,11.91
083,00049,0.484820,0.00034,11.46
084,00047,0.418711,0.00034,11.35
085,00048,0.398544,0.00033,11.63
086,00048,0.396606,0.00033,11.39
087,00047,0.432076,0.00033,11.18
088,00045,0.427664,0.00032,11.19
089,00042,0.380167,0.00032,11.38
090,00042,0.359670,0.00031,10.59
091,00041,0.385548,0.00031,10.61
092,00043,0.317144,0.00030,10.51
093,00042,0.325679,0.00030,10.26
094,00040,0.327193,0.00030,10.12
095,00043,0.350163,0.00029,10.20
096,00044,0.321676,0.00029,9.95
097,00047,0.324339,0.00029,9.87
098,00058,0.322356,0.00029,9.93
099,00060,0.326558,0.00029,9.86
100,00057,0.295439,0.00029,9.93
101,00000,0.000000,0.00000,16.13
