epoch,time(s),train_loss,test_loss,test_error(%)
001,00044,0.969688,0.00072,24.12
002,00040,0.814244,0.00063,22.05
003,00042,0.842306,0.00066,22.41
004,00042,0.812695,0.00058,19.21
005,00039,0.821869,0.00061,20.06
006,00047,0.884183,0.00067,22.36
007,00051,0.888645,0.00064,20.56
008,00048,0.869189,0.00069,23.10
009,00056,0.860795,0.00075,26.75
010,00051,0.893215,0.00069,23.19
011,00050,0.887414,0.00068,22.29
012,00050,0.904773,0.00068,22.93
013,00043,0.918545,0.00066,20.60
014,00041,0.871411,0.00065,21.55
015,00041,0.849544,0.00063,20.70
016,00039,0.860095,0.00066,21.73
017,00043,0.931167,0.00071,22.26
018,00041,0.856457,0.00067,22.79
019,00038,0.872508,0.00061,19.68
020,00039,0.842654,0.00061,20.45
021,00043,0.886959,0.00070,23.07
022,00038,0.831791,0.00060,19.91
023,00039,0.817985,0.00061,20.01
024,00042,0.797342,0.00059,19.81
025,00045,0.829737,0.00063,21.60
026,00056,0.866586,0.00067,21.82
027,00065,0.831734,0.00067,22.25
028,00053,0.823560,0.00061,19.56
029,00056,0.784409,0.00063,21.62
030,00055,0.785499,0.00061,19.94
031,00051,0.817215,0.00060,19.97
032,00050,0.788816,0.00059,19.81
033,00040,0.780193,0.00059,20.34
034,00050,0.774782,0.00066,22.12
035,00047,0.768778,0.00056,18.84
036,00051,0.822955,0.00057,18.43
037,00053,0.761981,0.00057,19.06
038,00058,0.774937,0.00059,19.66
039,00064,0.769133,0.00055,18.76
040,00049,0.754631,0.00052,17.36
041,00059,0.771529,0.00057,19.40
042,00061,0.759174,0.00056,19.35
043,00056,0.738894,0.00052,17.15
044,00055,0.715881,0.00056,18.69
045,00048,0.723902,0.00053,17.18
046,00058,0.730005,0.00053,17.68
047,00062,0.719221,0.00056,18.62
048,00055,0.695539,0.00053,17.53
049,00056,0.718199,0.00051,16.88
050,00055,0.733493,0.00053,17.37
051,00059,0.680321,0.00050,16.45
052,00062,0.689077,0.00053,17.70
053,00061,0.703582,0.00052,17.42
054,00061,0.688630,0.00050,16.22
055,00056,0.675927,0.00051,16.96
056,00060,0.647804,0.00049,16.13
057,00055,0.662973,0.00051,16.59
058,00064,0.674848,0.00050,16.44
059,00057,0.683504,0.00048,16.23
060,00047,0.658824,0.00047,15.44
061,00052,0.663710,0.00046,15.22
062,00059,0.624381,0.00045,15.00
063,00061,0.580249,0.00046,15.62
064,00056,0.574383,0.00044,15.03
065,00053,0.595405,0.00044,14.60
066,00061,0.619494,0.00044,14.64
067,00053,0.575971,0.00043,13.99
068,00052,0.606376,0.00042,14.07
069,00054,0.583359,0.00043,14.23
070,00049,0.593434,0.00042,13.69
071,00053,0.576395,0.00042,14.04
072,00052,0.543581,0.00040,13.60
073,00060,0.512985,0.00041,13.85
074,00057,0.558049,0.00039,13.22
075,00057,0.505033,0.00037,12.53
076,00055,0.513346,0.00039,13.05
077,00058,0.481840,0.00039,13.17
078,00053,0.461048,0.00036,12.17
079,00055,0.470870,0.00036,12.32
080,00048,0.473265,0.00036,12.26
081,00062,0.461679,0.00036,12.27
082,00053,0.432636,0.00035,11.82
083,00045,0.465249,0.00034,11.55
084,00058,0.405728,0.00033,11.07
085,00054,0.415734,0.00033,11.22
086,00057,0.393630,0.00033,11.47
087,00050,0.429380,0.00033,11.03
088,00061,0.411718,0.00032,10.89
089,00060,0.367353,0.00031,10.50
090,00054,0.346633,0.00031,10.57
091,00059,0.380310,0.00031,10.41
092,00056,0.329554,0.00031,10.69
093,00056,0.331102,0.00030,10.32
094,00056,0.329584,0.00030,10.35
095,00057,0.345170,0.00029,10.06
096,00061,0.313844,0.00029,10.11
097,00043,0.317033,0.00029,9.96
098,00056,0.318852,0.00029,9.90
099,00057,0.312343,0.00029,9.94
100,00061,0.289641,0.00029,9.99
101,00000,0.000000,0.00000,16.16
