epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,nan,nan,90.00
002,00035,nan,nan,90.00
003,00035,nan,nan,90.00
004,00035,nan,nan,90.00
005,00035,nan,nan,90.00
006,00035,nan,nan,90.00
007,00035,nan,nan,90.00
008,00036,nan,nan,90.00
009,00035,nan,nan,90.00
010,00036,nan,nan,90.00
011,00035,nan,nan,90.00
012,00036,nan,nan,90.00
013,00036,nan,nan,90.00
014,00036,nan,nan,90.00
015,00035,nan,nan,90.00
016,00036,nan,nan,90.00
017,00035,nan,nan,90.00
018,00036,nan,nan,90.00
019,00035,nan,nan,90.00
020,00036,nan,nan,90.00
021,00036,nan,nan,90.00
022,00036,nan,nan,90.00
023,00036,nan,nan,90.00
024,00036,nan,nan,90.00
025,00036,nan,nan,90.00
026,00036,nan,nan,90.00
027,00035,nan,nan,90.00
028,00036,nan,nan,90.00
029,00036,nan,nan,90.00
030,00036,nan,nan,90.00
031,00035,nan,nan,90.00
032,00035,nan,nan,90.00
033,00036,nan,nan,90.00
034,00035,nan,nan,90.00
035,00035,nan,nan,90.00
036,00036,nan,nan,90.00
037,00035,nan,nan,90.00
038,00035,nan,nan,90.00
039,00035,nan,nan,90.00
040,00036,nan,nan,90.00
041,00036,nan,nan,90.00
042,00036,nan,nan,90.00
043,00036,nan,nan,90.00
044,00035,nan,nan,90.00
045,00035,nan,nan,90.00
046,00036,nan,nan,90.00
047,00036,nan,nan,90.00
048,00035,nan,nan,90.00
049,00035,nan,nan,90.00
050,00035,nan,nan,90.00
051,00035,nan,nan,90.00
052,00035,nan,nan,90.00
053,00036,nan,nan,90.00
054,00036,nan,nan,90.00
055,00036,nan,nan,90.00
056,00036,nan,nan,90.00
057,00036,nan,nan,90.00
058,00036,nan,nan,90.00
059,00036,nan,nan,90.00
060,00036,nan,nan,90.00
061,00036,nan,nan,90.00
062,00036,nan,nan,90.00
063,00036,nan,nan,90.00
064,00036,nan,nan,90.00
065,00036,nan,nan,90.00
066,00036,nan,nan,90.00
067,00036,nan,nan,90.00
068,00036,nan,nan,90.00
069,00036,nan,nan,90.00
070,00036,nan,nan,90.00
071,00036,nan,nan,90.00
072,00036,nan,nan,90.00
073,00036,nan,nan,90.00
074,00036,nan,nan,90.00
075,00036,nan,nan,90.00
076,00036,nan,nan,90.00
077,00036,nan,nan,90.00
078,00036,nan,nan,90.00
079,00036,nan,nan,90.00
080,00036,nan,nan,90.00
081,00036,nan,nan,90.00
082,00036,nan,nan,90.00
083,00036,nan,nan,90.00
084,00035,nan,nan,90.00
085,00035,nan,nan,90.00
086,00036,nan,nan,90.00
087,00036,nan,nan,90.00
088,00036,nan,nan,90.00
089,00035,nan,nan,90.00
090,00035,nan,nan,90.00
091,00035,nan,nan,90.00
092,00035,nan,nan,90.00
093,00036,nan,nan,90.00
094,00035,nan,nan,90.00
095,00035,nan,nan,90.00
096,00035,nan,nan,90.00
097,00035,nan,nan,90.00
098,00035,nan,nan,90.00
099,00035,nan,nan,90.00
100,00035,nan,nan,90.00
101,00000,0.000000,0.00000,90.00
