epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,2630456.047714,2298.17424,90.00
002,00036,227.703592,0.33124,90.00
003,00036,2.323937,0.00233,90.00
004,00036,2.310462,0.00231,90.00
005,00036,2.311154,0.00232,90.00
006,00036,2.307127,0.00231,90.00
007,00035,2.307792,0.00231,90.00
008,00036,nan,nan,90.00
009,00035,nan,nan,90.00
010,00035,nan,nan,90.00
011,00036,nan,nan,90.00
012,00035,nan,nan,90.00
013,00035,nan,nan,90.00
014,00035,nan,nan,90.00
015,00035,nan,nan,90.00
016,00036,nan,nan,90.00
017,00035,nan,nan,90.00
018,00036,nan,nan,90.00
019,00035,nan,nan,90.00
020,00036,nan,nan,90.00
021,00036,nan,nan,90.00
022,00036,nan,nan,90.00
023,00036,nan,nan,90.00
024,00035,nan,nan,90.00
025,00036,nan,nan,90.00
026,00036,nan,nan,90.00
027,00036,nan,nan,90.00
028,00036,nan,nan,90.00
029,00036,nan,nan,90.00
030,00035,nan,nan,90.00
031,00036,nan,nan,90.00
032,00035,nan,nan,90.00
033,00035,nan,nan,90.00
034,00035,nan,nan,90.00
035,00035,nan,nan,90.00
036,00035,nan,nan,90.00
037,00035,nan,nan,90.00
038,00035,nan,nan,90.00
039,00035,nan,nan,90.00
040,00036,nan,nan,90.00
041,00035,nan,nan,90.00
042,00036,nan,nan,90.00
043,00035,nan,nan,90.00
044,00035,nan,nan,90.00
045,00036,nan,nan,90.00
046,00035,nan,nan,90.00
047,00035,nan,nan,90.00
048,00036,nan,nan,90.00
049,00035,nan,nan,90.00
050,00035,nan,nan,90.00
051,00035,nan,nan,90.00
052,00036,nan,nan,90.00
053,00036,nan,nan,90.00
054,00036,nan,nan,90.00
055,00035,nan,nan,90.00
056,00036,nan,nan,90.00
057,00035,nan,nan,90.00
058,00036,nan,nan,90.00
059,00036,nan,nan,90.00
060,00035,nan,nan,90.00
061,00035,nan,nan,90.00
062,00036,nan,nan,90.00
063,00036,nan,nan,90.00
064,00036,nan,nan,90.00
065,00035,nan,nan,90.00
066,00036,nan,nan,90.00
067,00036,nan,nan,90.00
068,00036,nan,nan,90.00
069,00036,nan,nan,90.00
070,00035,nan,nan,90.00
071,00036,nan,nan,90.00
072,00036,nan,nan,90.00
073,00035,nan,nan,90.00
074,00036,nan,nan,90.00
075,00036,nan,nan,90.00
076,00035,nan,nan,90.00
077,00035,nan,nan,90.00
078,00035,nan,nan,90.00
079,00035,nan,nan,90.00
080,00036,nan,nan,90.00
081,00035,nan,nan,90.00
082,00036,nan,nan,90.00
083,00035,nan,nan,90.00
084,00036,nan,nan,90.00
085,00036,nan,nan,90.00
086,00035,nan,nan,90.00
087,00035,nan,nan,90.00
088,00035,nan,nan,90.00
089,00035,nan,nan,90.00
090,00035,nan,nan,90.00
091,00035,nan,nan,90.00
092,00035,nan,nan,90.00
093,00035,nan,nan,90.00
094,00036,nan,nan,90.00
095,00035,nan,nan,90.00
096,00035,nan,nan,90.00
097,00035,nan,nan,90.00
098,00035,nan,nan,90.00
099,00035,nan,nan,90.00
100,00035,nan,nan,90.00
101,00000,0.000000,0.00000,90.00
