epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,2.157779,0.00209,75.73
002,00035,1.894158,0.00172,63.36
003,00035,1.727315,0.00154,55.75
004,00035,1.648076,0.00149,54.63
005,00035,1.543108,0.00131,45.47
006,00035,1.429995,0.00121,41.61
007,00035,1.385311,0.00112,38.57
008,00035,1.342590,0.00110,38.64
009,00035,1.301269,0.00106,36.26
010,00035,1.232249,0.00099,33.91
011,00035,1.224924,0.00098,33.02
012,00035,1.187734,0.00092,30.85
013,00035,1.178409,0.00099,33.58
014,00037,1.129699,0.00088,29.15
015,00035,1.090892,0.00085,28.77
016,00035,1.100802,0.00084,26.92
017,00035,1.073256,0.00089,29.41
018,00035,1.117877,0.00085,27.92
019,00036,1.049027,0.00082,27.46
020,00035,1.051440,0.00086,29.94
021,00035,1.039515,0.00085,29.06
022,00035,1.008377,0.00080,26.92
023,00035,1.011477,0.00083,26.64
024,00035,1.018612,0.00081,27.19
025,00035,1.007784,0.00079,26.40
026,00035,0.991351,0.00076,25.16
027,00035,0.996095,0.00082,27.11
028,00035,1.011687,0.00074,24.67
029,00035,1.008217,0.00073,24.26
030,00035,0.956953,0.00074,24.92
031,00035,0.976654,0.00077,26.68
032,00035,0.983568,0.00078,26.85
033,00035,0.937037,0.00073,24.82
034,00035,0.962126,0.00074,25.18
035,00035,0.943945,0.00079,26.88
036,00035,0.974236,0.00081,28.05
037,00035,0.939485,0.00073,24.94
038,00035,0.966021,0.00070,22.49
039,00035,0.937663,0.00073,24.84
040,00035,0.901738,0.00068,22.58
041,00035,0.953663,0.00071,23.02
042,00035,0.882981,0.00075,24.90
043,00035,0.910546,0.00075,25.08
044,00035,0.856995,0.00068,22.67
045,00035,0.878104,0.00067,21.79
046,00035,0.873611,0.00071,23.86
047,00035,0.882232,0.00065,21.54
048,00035,0.910804,0.00068,22.31
049,00035,0.855222,0.00068,22.53
050,00035,0.841385,0.00064,21.22
051,00035,0.873105,0.00066,22.09
052,00035,0.835821,0.00063,20.28
053,00035,0.829086,0.00066,22.07
054,00035,0.850274,0.00061,20.16
055,00035,0.825575,0.00060,19.82
056,00035,0.824546,0.00059,19.39
057,00035,0.795373,0.00060,19.96
058,00035,0.808221,0.00061,20.54
059,00035,0.764112,0.00063,21.03
060,00035,0.787463,0.00063,21.26
061,00037,0.786381,0.00057,18.59
062,00035,0.753521,0.00059,19.50
063,00035,0.751764,0.00059,20.02
064,00035,0.754465,0.00054,17.46
065,00035,0.762121,0.00057,18.73
066,00035,0.765071,0.00054,17.75
067,00035,0.752023,0.00053,17.39
068,00035,0.749911,0.00054,17.29
069,00035,0.729745,0.00053,17.32
070,00035,0.698099,0.00054,18.04
071,00035,0.705031,0.00052,17.18
072,00035,0.667970,0.00053,18.36
073,00035,0.693912,0.00050,16.35
074,00035,0.665797,0.00051,17.07
075,00035,0.674003,0.00049,15.93
076,00035,0.656594,0.00048,15.82
077,00035,0.648325,0.00047,15.79
078,00035,0.642558,0.00047,15.20
079,00035,0.628384,0.00047,15.27
080,00035,0.632325,0.00046,15.40
081,00035,0.582780,0.00046,14.90
082,00035,0.612339,0.00044,14.67
083,00035,0.559203,0.00044,14.56
084,00035,0.576115,0.00043,13.86
085,00035,0.614325,0.00043,14.47
086,00035,0.569569,0.00043,14.38
087,00035,0.561287,0.00042,13.93
088,00035,0.536116,0.00041,13.54
089,00035,0.544250,0.00040,13.47
090,00035,0.504923,0.00040,13.33
091,00035,0.520569,0.00040,13.48
092,00035,0.507189,0.00039,13.16
093,00035,0.463353,0.00039,13.21
094,00035,0.483744,0.00038,12.90
095,00035,0.485658,0.00038,13.15
096,00035,0.488136,0.00038,13.04
097,00035,0.465379,0.00038,12.91
098,00035,0.441712,0.00038,12.92
099,00035,0.453397,0.00038,12.83
100,00035,0.450469,0.00038,12.92
101,00000,0.000000,0.00000,18.48
