epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,2.298029,0.00216,79.40
002,00035,1.896187,0.00175,65.09
003,00035,1.709155,0.00153,58.22
004,00035,1.580691,0.00149,52.21
005,00035,1.445208,0.00122,42.60
006,00035,1.375916,0.00114,39.29
007,00035,1.328476,0.00113,38.62
008,00035,1.312940,0.00107,36.46
009,00035,1.234162,0.00097,32.43
010,00035,1.192733,0.00095,31.75
011,00035,1.164920,0.00092,31.46
012,00035,1.143240,0.00090,30.14
013,00035,1.134299,0.00089,30.01
014,00035,1.087394,0.00091,30.67
015,00035,1.077504,0.00087,28.44
016,00035,1.061481,0.00088,29.68
017,00035,1.055566,0.00092,30.80
018,00035,1.074929,0.00082,26.66
019,00035,1.016969,0.00076,25.60
020,00035,1.022393,0.00082,27.89
021,00035,1.016552,0.00086,29.61
022,00035,0.986219,0.00084,28.74
023,00035,0.986851,0.00076,26.05
024,00035,0.983401,0.00078,26.06
025,00035,0.967941,0.00077,25.97
026,00035,0.960130,0.00072,23.92
027,00035,0.979343,0.00086,29.14
028,00035,0.982294,0.00076,26.20
029,00035,0.971884,0.00076,25.13
030,00035,0.937952,0.00075,24.41
031,00035,0.965657,0.00076,25.74
032,00035,0.942893,0.00071,23.78
033,00035,0.925394,0.00072,23.94
034,00035,0.916182,0.00070,23.23
035,00035,0.918584,0.00072,23.63
036,00035,0.932861,0.00080,28.18
037,00035,0.908500,0.00071,23.52
038,00035,0.930876,0.00069,22.53
039,00035,0.877693,0.00068,23.33
040,00035,0.880041,0.00071,23.30
041,00035,0.906241,0.00069,22.80
042,00035,0.854851,0.00072,23.94
043,00035,0.888564,0.00070,23.19
044,00035,0.838315,0.00065,21.55
045,00035,0.846748,0.00066,21.11
046,00035,0.826350,0.00064,21.55
047,00035,0.865522,0.00066,21.59
048,00035,0.889930,0.00072,24.76
049,00035,0.826469,0.00066,22.26
050,00035,0.806269,0.00064,22.20
051,00035,0.835345,0.00062,20.82
052,00035,0.821931,0.00066,22.23
053,00035,0.793100,0.00064,21.05
054,00035,0.821465,0.00062,20.55
055,00035,0.813813,0.00059,19.43
056,00035,0.799250,0.00059,19.63
057,00035,0.771895,0.00058,19.14
058,00035,0.786563,0.00056,18.80
059,00035,0.729920,0.00059,19.96
060,00035,0.742661,0.00055,18.25
061,00035,0.757706,0.00056,18.74
062,00035,0.740764,0.00057,18.88
063,00035,0.731992,0.00055,17.93
064,00035,0.708595,0.00055,18.45
065,00035,0.740048,0.00056,18.70
066,00035,0.741603,0.00052,16.98
067,00035,0.704448,0.00052,17.00
068,00035,0.725517,0.00052,17.02
069,00035,0.708613,0.00051,16.94
070,00035,0.687070,0.00050,16.50
071,00035,0.666477,0.00049,16.55
072,00035,0.683588,0.00052,17.76
073,00035,0.658081,0.00048,15.76
074,00035,0.652723,0.00048,16.25
075,00035,0.642110,0.00048,16.12
076,00035,0.625366,0.00046,15.45
077,00035,0.624112,0.00045,15.16
078,00035,0.606486,0.00045,15.04
079,00035,0.596837,0.00046,15.04
080,00035,0.603307,0.00044,14.92
081,00035,0.567848,0.00044,14.74
082,00035,0.573757,0.00043,14.43
083,00035,0.544063,0.00042,13.91
084,00035,0.537666,0.00040,13.54
085,00035,0.562252,0.00041,13.63
086,00035,0.535937,0.00040,13.35
087,00035,0.497200,0.00040,13.34
088,00035,0.500686,0.00039,13.04
089,00037,0.503407,0.00038,12.56
090,00035,0.469500,0.00038,12.80
091,00035,0.486087,0.00038,12.71
092,00035,0.453050,0.00037,12.34
093,00035,0.433153,0.00036,12.30
094,00035,0.435637,0.00036,12.06
095,00035,0.441037,0.00036,12.15
096,00035,0.448864,0.00036,12.04
097,00035,0.422518,0.00036,11.90
098,00035,0.417000,0.00035,11.91
099,00035,0.432276,0.00035,11.91
100,00035,0.398439,0.00035,11.83
101,00000,0.000000,0.00000,17.49
