epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,1.885671,0.00177,64.01
002,00035,1.681983,0.00145,52.02
003,00035,1.528084,0.00132,47.45
004,00035,1.336993,0.00114,38.87
005,00035,1.313419,0.00104,35.11
006,00035,1.193357,0.00111,38.62
007,00035,1.160150,0.00099,34.20
008,00035,1.130946,0.00090,30.50
009,00035,1.120540,0.00087,29.47
010,00035,1.093182,0.00089,29.56
011,00035,1.102472,0.00084,27.31
012,00035,1.062965,0.00090,31.83
013,00035,1.040454,0.00086,28.16
014,00036,1.001956,0.00075,25.38
015,00035,1.045880,0.00081,25.75
016,00035,0.998213,0.00083,28.39
017,00035,0.959973,0.00080,27.03
018,00035,0.978055,0.00076,25.28
019,00036,0.987277,0.00074,24.23
020,00035,0.955404,0.00075,24.69
021,00035,0.961863,0.00082,28.19
022,00035,0.970694,0.00074,24.74
023,00035,0.963639,0.00077,25.52
024,00035,0.907128,0.00072,23.84
025,00035,0.919580,0.00074,24.39
026,00035,0.882627,0.00075,24.38
027,00036,0.924349,0.00073,23.79
028,00035,0.939615,0.00075,24.78
029,00035,0.957383,0.00068,22.49
030,00035,0.914765,0.00079,26.33
031,00036,0.910016,0.00069,22.37
032,00035,0.912637,0.00070,23.40
033,00035,0.883584,0.00067,22.03
034,00035,0.881927,0.00070,23.73
035,00035,0.893671,0.00068,22.82
036,00035,0.836385,0.00071,23.59
037,00036,0.846536,0.00064,21.01
038,00035,0.864378,0.00072,24.21
039,00035,0.841566,0.00065,21.65
040,00035,0.878573,0.00069,23.59
041,00035,0.870608,0.00065,21.18
042,00035,0.848484,0.00063,20.80
043,00035,0.788375,0.00060,20.14
044,00035,0.869055,0.00066,22.76
045,00035,0.816951,0.00065,22.49
046,00035,0.850924,0.00061,20.54
047,00035,0.822927,0.00066,22.35
048,00035,0.760167,0.00061,20.22
049,00035,0.815155,0.00061,20.21
050,00035,0.803166,0.00061,20.35
051,00036,0.771062,0.00057,18.82
052,00035,0.760903,0.00063,20.68
053,00035,0.790275,0.00060,19.45
054,00035,0.765377,0.00058,19.23
055,00035,0.758373,0.00060,19.77
056,00035,0.728130,0.00060,20.15
057,00035,0.763723,0.00056,18.71
058,00035,0.752057,0.00057,18.92
059,00035,0.701028,0.00058,19.44
060,00035,0.733468,0.00058,19.42
061,00035,0.703472,0.00053,17.68
062,00035,0.748864,0.00057,19.09
063,00035,0.724418,0.00052,17.79
064,00035,0.689725,0.00054,18.31
065,00035,0.690222,0.00051,17.09
066,00035,0.652020,0.00050,16.58
067,00035,0.671355,0.00049,16.46
068,00035,0.674636,0.00048,15.84
069,00035,0.678115,0.00046,15.53
070,00035,0.652833,0.00048,15.80
071,00035,0.635285,0.00051,17.30
072,00035,0.620851,0.00048,15.67
073,00035,0.580551,0.00046,15.02
074,00035,0.607077,0.00047,15.52
075,00035,0.614661,0.00045,15.17
076,00035,0.616133,0.00044,14.28
077,00035,0.556489,0.00044,14.85
078,00035,0.583741,0.00043,14.26
079,00035,0.524961,0.00040,13.84
080,00035,0.534196,0.00042,14.33
081,00035,0.529524,0.00040,13.36
082,00035,0.530096,0.00040,13.26
083,00035,0.512908,0.00040,13.21
084,00035,0.501104,0.00039,12.99
085,00035,0.474005,0.00038,12.44
086,00035,0.483144,0.00038,12.73
087,00035,0.448938,0.00037,12.77
088,00035,0.456177,0.00036,12.18
089,00035,0.474454,0.00036,12.02
090,00035,0.422064,0.00036,12.34
091,00035,0.429415,0.00035,11.91
092,00035,0.406982,0.00035,11.62
093,00035,0.400180,0.00034,11.50
094,00036,0.408301,0.00034,11.20
095,00035,0.380308,0.00034,11.46
096,00036,0.394642,0.00033,11.13
097,00036,0.379070,0.00033,11.17
098,00035,0.379364,0.00033,11.10
099,00035,0.350410,0.00033,11.19
100,00035,0.376845,0.00033,11.01
101,00000,0.000000,0.00000,16.76
