epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,1.888610,0.00182,67.06
002,00035,1.709207,0.00158,57.15
003,00035,1.583104,0.00142,51.82
004,00035,1.420619,0.00121,42.10
005,00035,1.363211,0.00114,39.29
006,00035,1.256464,0.00115,38.62
007,00035,1.201430,0.00103,34.99
008,00035,1.161375,0.00096,32.94
009,00035,1.131114,0.00095,32.85
010,00035,1.111777,0.00093,31.62
011,00035,1.104565,0.00084,26.43
012,00035,1.073893,0.00093,31.95
013,00035,1.046455,0.00086,29.75
014,00035,1.001731,0.00079,26.30
015,00035,1.062642,0.00084,28.90
016,00035,1.032195,0.00095,32.88
017,00035,0.982271,0.00085,28.67
018,00035,0.963184,0.00078,26.78
019,00035,0.973698,0.00083,28.73
020,00035,0.961133,0.00074,24.97
021,00035,0.953532,0.00082,28.58
022,00035,1.001134,0.00078,26.39
023,00035,0.943590,0.00085,28.98
024,00035,0.917443,0.00070,22.19
025,00036,0.929153,0.00073,23.84
026,00035,0.874132,0.00072,23.22
027,00035,0.908749,0.00071,23.26
028,00035,0.938967,0.00075,25.18
029,00035,0.929643,0.00067,22.23
030,00036,0.906753,0.00073,25.68
031,00035,0.940105,0.00072,23.23
032,00035,0.900792,0.00071,23.71
033,00035,0.890305,0.00072,24.05
034,00035,0.920388,0.00071,24.13
035,00036,0.898301,0.00075,24.68
036,00035,0.841991,0.00066,21.81
037,00036,0.865102,0.00066,21.82
038,00035,0.860006,0.00066,22.13
039,00035,0.844794,0.00062,20.59
040,00035,0.877149,0.00071,23.92
041,00035,0.876968,0.00064,21.88
042,00035,0.838581,0.00062,20.82
043,00035,0.810284,0.00063,21.25
044,00035,0.859346,0.00066,22.33
045,00035,0.802324,0.00065,22.05
046,00035,0.822438,0.00062,20.48
047,00035,0.807571,0.00063,21.35
048,00035,0.757853,0.00060,19.58
049,00035,0.792583,0.00061,20.41
050,00035,0.804096,0.00061,20.57
051,00035,0.776714,0.00059,19.76
052,00036,0.792955,0.00064,21.47
053,00035,0.779970,0.00058,18.84
054,00035,0.766456,0.00055,18.01
055,00035,0.744172,0.00057,19.24
056,00035,0.739991,0.00058,19.22
057,00035,0.801199,0.00057,18.85
058,00035,0.767631,0.00060,20.24
059,00035,0.711975,0.00058,19.03
060,00035,0.731947,0.00054,17.79
061,00035,0.717866,0.00052,17.17
062,00035,0.728656,0.00055,18.51
063,00035,0.729756,0.00052,17.43
064,00035,0.683358,0.00054,17.84
065,00035,0.696538,0.00051,16.77
066,00035,0.655087,0.00049,16.48
067,00035,0.662359,0.00049,16.23
068,00035,0.672473,0.00050,16.33
069,00035,0.707458,0.00050,16.35
070,00035,0.647724,0.00048,15.89
071,00035,0.605526,0.00047,16.36
072,00035,0.633500,0.00046,15.20
073,00035,0.573934,0.00046,15.16
074,00035,0.643572,0.00047,15.99
075,00035,0.615031,0.00046,15.31
076,00035,0.640215,0.00044,14.62
077,00035,0.550449,0.00043,14.01
078,00035,0.568261,0.00043,14.79
079,00035,0.528742,0.00043,14.64
080,00035,0.544658,0.00041,14.14
081,00035,0.549325,0.00040,14.01
082,00035,0.550931,0.00040,13.71
083,00035,0.495881,0.00040,13.22
084,00035,0.487282,0.00039,13.10
085,00035,0.490556,0.00038,12.75
086,00035,0.494346,0.00038,13.01
087,00035,0.438995,0.00037,12.55
088,00035,0.460520,0.00036,12.48
089,00035,0.485871,0.00037,12.62
090,00035,0.460587,0.00036,12.34
091,00035,0.423583,0.00035,11.98
092,00035,0.407081,0.00034,11.88
093,00035,0.410358,0.00034,11.91
094,00035,0.404803,0.00034,11.60
095,00035,0.373160,0.00034,11.69
096,00036,0.404585,0.00034,11.78
097,00036,0.398708,0.00033,11.57
098,00035,0.364208,0.00033,11.56
099,00035,0.351520,0.00033,11.47
100,00035,0.372281,0.00033,11.53
101,00000,0.000000,0.00000,16.86
