epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,2.348497,0.00232,90.00
002,00036,2.312079,0.00235,90.00
003,00036,2.310234,0.00231,90.00
004,00036,2.313377,0.00231,90.00
005,00036,2.380737,0.00236,90.00
006,00036,2.466838,0.00246,90.00
007,00036,2.368119,0.00239,90.00
008,00036,2.430708,0.00237,90.00
009,00036,2.368683,0.00237,90.00
010,00036,2.343049,0.00237,90.00
011,00036,2.343499,0.00234,90.00
012,00036,2.344771,0.00234,90.00
013,00036,2.315470,0.00232,90.00
014,00036,2.330338,0.00232,90.00
015,00036,2.316818,0.00231,90.00
016,00036,2.314123,0.00232,90.00
017,00036,2.305988,0.00231,90.00
018,00036,2.309438,0.00231,90.00
019,00036,2.311380,0.00231,90.00
020,00036,2.323795,0.00233,90.00
021,00036,2.322042,0.00232,90.00
022,00036,2.320477,0.00235,90.00
023,00036,2.339741,0.00235,90.00
024,00036,2.331740,0.00233,90.00
025,00036,2.419598,0.00236,90.00
026,00036,2.423298,0.00240,90.00
027,00036,2.346596,0.00233,90.00
028,00036,2.336446,0.00234,90.00
029,00036,2.319756,0.00232,90.00
030,00036,2.312533,0.00231,90.00
031,00036,2.312748,0.00231,90.00
032,00036,2.309540,0.00231,90.00
033,00036,2.306796,0.00231,90.00
034,00036,2.309358,0.00231,90.00
035,00036,2.306623,0.00231,90.00
036,00036,2.313774,0.00231,90.00
037,00036,2.307023,0.00231,90.00
038,00036,2.315642,0.00232,90.00
039,00036,2.327690,0.00232,90.00
040,00036,2.331833,0.00234,90.00
041,00036,2.328675,0.00232,90.00
042,00036,2.317893,0.00231,90.00
043,00036,2.381217,0.00234,90.00
044,00036,2.352249,0.00244,90.00
045,00036,2.336441,0.00233,90.00
046,00036,2.322710,0.00233,90.00
047,00036,2.353701,0.00237,90.00
048,00036,2.360561,0.00246,90.00
049,00036,2.352574,0.00234,90.00
050,00036,2.324769,0.00231,90.00
051,00036,2.324265,0.00232,90.00
052,00036,2.346026,0.00233,90.00
053,00036,2.327958,0.00234,90.00
054,00036,2.326045,0.00233,90.00
055,00036,2.330238,0.00232,90.00
056,00036,2.319743,0.00231,90.00
057,00036,2.333987,0.00234,90.00
058,00036,2.317072,0.00231,90.00
059,00036,2.332636,0.00232,90.00
060,00036,2.315360,0.00231,90.00
061,00036,2.325767,0.00234,90.00
062,00036,2.325794,0.00231,90.00
063,00036,2.326919,0.00233,90.00
064,00036,2.327276,0.00234,90.00
065,00036,2.330704,0.00231,90.00
066,00036,2.324361,0.00232,90.00
067,00036,2.325327,0.00232,90.00
068,00036,2.309970,0.00232,90.00
069,00036,2.312947,0.00232,90.00
070,00036,2.315044,0.00231,90.00
071,00036,2.317064,0.00231,90.00
072,00036,2.307607,0.00232,90.00
073,00036,2.308385,0.00230,90.00
074,00036,2.306509,0.00231,90.00
075,00036,2.324131,0.00232,90.00
076,00036,2.307742,0.00230,90.00
077,00036,2.309526,0.00231,90.00
078,00036,2.305165,0.00231,90.00
079,00036,2.311496,0.00232,90.00
080,00036,2.305321,0.00231,90.00
081,00036,2.304467,0.00231,90.00
082,00036,2.305218,0.00230,90.00
083,00036,2.307672,0.00230,90.00
084,00036,2.304174,0.00231,90.00
085,00036,2.303881,0.00230,90.00
086,00036,2.304409,0.00230,90.00
087,00036,2.304756,0.00230,90.00
088,00036,2.303883,0.00230,90.00
089,00036,2.303055,0.00230,90.00
090,00036,2.302874,0.00230,90.00
091,00036,2.302629,0.00230,90.00
092,00036,2.302912,0.00230,90.00
093,00036,2.303128,0.00230,90.00
094,00036,2.302645,0.00230,90.00
095,00036,2.302685,0.00230,90.00
096,00036,2.302631,0.00230,90.00
097,00036,2.302634,0.00230,90.00
098,00036,2.302627,0.00230,90.00
099,00036,2.302591,0.00230,90.00
100,00036,2.302572,0.00230,90.00
101,00000,0.000000,0.00000,90.00
