epoch,time(s),train_loss,test_loss,test_error(%)
001,00049,2.366968,0.00234,90.00
002,00060,2.319339,0.00237,90.00
003,00054,2.313084,0.00231,90.00
004,00048,2.309926,0.00231,90.00
005,00056,2.314272,0.00232,90.00
006,00056,2.318069,0.00232,90.00
007,00052,2.331660,0.00235,90.00
008,00054,2.327475,0.00231,90.00
009,00052,2.349954,0.00234,90.00
010,00059,2.365008,0.00239,90.00
011,00055,2.352905,0.00232,90.00
012,00048,2.345896,0.00234,90.00
013,00049,4.625207,0.00326,90.00
014,00048,2.366926,0.00232,90.00
015,00055,2.343164,0.00232,90.00
016,00047,2.357605,0.00236,90.00
017,00058,2.332924,0.00233,90.00
018,00053,2.321607,0.00231,90.00
019,00048,2.319836,0.00233,90.00
020,00052,2.317888,0.00231,90.00
021,00055,2.311433,0.00231,90.00
022,00063,2.316264,0.00231,90.00
023,00053,2.307857,0.00231,90.00
024,00062,2.308837,0.00231,90.00
025,00058,2.316092,0.00231,90.00
026,00050,2.317851,0.00232,90.00
027,00052,2.325482,0.00232,90.00
028,00061,2.334181,0.00236,90.00
029,00047,2.347661,0.00233,90.00
030,00049,2.369943,0.00235,90.00
031,00054,2.351301,0.00236,90.00
032,00050,2.344699,0.00234,90.00
033,00058,2.342075,0.00233,90.00
034,00048,2.350602,0.00242,90.00
035,00046,2.328827,0.00238,90.00
036,00048,2.357396,0.00243,90.00
037,00051,2.399534,0.00237,90.00
038,00054,2.344162,0.00236,90.00
039,00053,2.351143,0.00233,90.00
040,00057,2.317979,0.00231,90.00
041,00057,2.312666,0.00231,90.00
042,00048,2.310015,0.00230,90.00
043,00053,2.307689,0.00231,90.00
044,00060,2.307815,0.00231,90.00
045,00065,2.307290,0.00231,90.00
046,00057,2.306371,0.00231,90.00
047,00056,2.308783,0.00231,90.00
048,00054,2.309700,0.00231,90.00
049,00050,2.311223,0.00230,90.00
050,00054,2.311943,0.00231,90.00
051,00063,2.308917,0.00232,90.00
052,00050,2.318467,0.00231,90.00
053,00056,2.315936,0.00231,90.00
054,00061,2.312139,0.00232,90.00
055,00062,2.346369,0.00233,90.00
056,00050,2.329776,0.00232,90.00
057,00059,2.331563,0.00232,90.00
058,00055,2.340678,0.00232,90.00
059,00056,2.329595,0.00235,90.00
060,00056,2.314625,0.00231,90.00
061,00050,2.320434,0.00235,90.00
062,00051,2.336550,0.00232,90.00
063,00056,2.317340,0.00234,90.00
064,00056,2.314009,0.00231,90.00
065,00050,2.318209,0.00231,90.00
066,00052,2.320744,0.00230,90.00
067,00055,2.328126,0.00232,90.00
068,00053,2.313404,0.00232,90.00
069,00055,2.314125,0.00234,90.00
070,00059,2.314516,0.00233,90.00
071,00049,2.318570,0.00232,90.00
072,00049,2.308146,0.00233,90.00
073,00049,2.306837,0.00230,90.00
074,00058,2.308999,0.00231,90.00
075,00051,2.325766,0.00231,90.00
076,00060,2.310610,0.00231,90.00
077,00052,2.309557,0.00231,90.00
078,00062,2.305806,0.00231,90.00
079,00060,2.310870,0.00231,90.00
080,00053,2.304420,0.00231,90.00
081,00057,2.305630,0.00230,90.00
082,00053,2.305634,0.00230,90.00
083,00055,2.307015,0.00230,90.00
084,00052,2.303154,0.00231,90.00
085,00063,2.304004,0.00230,90.00
086,00054,2.304209,0.00230,90.00
087,00054,2.304623,0.00230,90.00
088,00066,2.304258,0.00230,90.00
089,00049,2.303088,0.00230,90.00
090,00048,2.302911,0.00230,90.00
091,00051,2.302661,0.00230,90.00
092,00056,2.302898,0.00230,90.00
093,00060,2.303118,0.00230,90.00
094,00058,2.302641,0.00230,90.00
095,00055,2.302689,0.00230,90.00
096,00059,2.302633,0.00230,90.00
097,00048,2.302624,0.00230,90.00
098,00050,2.302628,0.00230,90.00
099,00056,2.302594,0.00230,90.00
100,00056,2.302573,0.00230,90.00
101,00000,0.000000,0.00000,90.00
