epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,2.010346,0.00192,73.99
002,00035,1.837367,0.00172,64.93
003,00035,1.729785,0.00156,59.80
004,00035,1.681301,0.00173,64.07
005,00035,1.575983,0.00152,54.63
006,00035,1.525555,0.00129,46.38
007,00035,1.533761,0.00134,47.86
008,00035,1.453330,0.00122,43.36
009,00035,1.396084,0.00118,42.46
010,00035,1.352209,0.00115,40.08
011,00035,1.302055,0.00116,39.24
012,00035,1.286460,0.00101,35.23
013,00035,1.276100,0.00099,34.66
014,00035,1.207657,0.00100,33.27
015,00035,1.159786,0.00092,31.79
016,00035,1.193233,0.00100,33.33
017,00035,1.163038,0.00096,32.80
018,00035,1.184024,0.00089,30.57
019,00035,1.129624,0.00085,27.45
020,00035,1.120047,0.00087,28.63
021,00035,1.116512,0.00093,30.87
022,00035,1.054279,0.00085,27.28
023,00035,1.082295,0.00080,26.51
024,00035,1.055760,0.00084,26.80
025,00036,1.039661,0.00078,26.30
026,00035,1.023476,0.00080,28.20
027,00035,1.018415,0.00081,25.42
028,00035,1.032932,0.00076,24.28
029,00035,0.998355,0.00075,23.70
030,00035,0.983078,0.00073,23.18
031,00035,0.958294,0.00074,23.10
032,00035,0.955647,0.00071,22.97
033,00035,0.928735,0.00071,23.17
034,00035,0.932970,0.00069,22.05
035,00035,0.942438,0.00072,22.59
036,00035,0.939003,0.00078,26.74
037,00035,0.876375,0.00067,21.29
038,00035,0.937262,0.00069,21.37
039,00035,0.888792,0.00065,20.50
040,00035,0.878144,0.00071,22.06
041,00035,0.888918,0.00065,20.38
042,00035,0.825996,0.00068,22.22
043,00035,0.860644,0.00063,19.61
044,00035,0.804393,0.00068,21.74
045,00035,0.815004,0.00061,18.98
046,00035,0.797722,0.00062,19.56
047,00035,0.812862,0.00062,19.10
048,00035,0.836014,0.00060,18.27
049,00035,0.779127,0.00062,19.72
050,00035,0.791643,0.00063,20.05
051,00035,0.806954,0.00058,18.68
052,00035,0.768900,0.00058,18.54
053,00035,0.771789,0.00058,18.56
054,00035,0.768740,0.00055,17.47
055,00035,0.749981,0.00058,18.61
056,00035,0.756124,0.00055,17.67
057,00035,0.721051,0.00054,17.17
058,00035,0.727769,0.00056,17.69
059,00035,0.663564,0.00052,16.93
060,00035,0.689568,0.00054,17.52
061,00035,0.721754,0.00054,17.32
062,00035,0.683802,0.00053,17.13
063,00035,0.674734,0.00052,16.32
064,00035,0.693088,0.00055,17.47
065,00035,0.691216,0.00052,16.26
066,00035,0.683418,0.00051,16.21
067,00035,0.655502,0.00052,16.71
068,00035,0.679704,0.00051,16.29
069,00035,0.691403,0.00050,15.94
070,00035,0.623914,0.00049,16.05
071,00035,0.626478,0.00050,15.78
072,00036,0.598633,0.00049,15.73
073,00035,0.635802,0.00049,15.68
074,00035,0.616287,0.00048,15.70
075,00035,0.608104,0.00047,15.20
076,00035,0.584906,0.00047,15.41
077,00035,0.607804,0.00047,15.36
078,00035,0.579928,0.00046,15.11
079,00035,0.598230,0.00047,15.34
080,00035,0.613953,0.00047,15.17
081,00035,0.581475,0.00046,14.98
082,00035,0.582383,0.00045,15.01
083,00035,0.543413,0.00046,15.03
084,00036,0.575927,0.00045,14.60
085,00035,0.601173,0.00045,14.69
086,00035,0.565131,0.00045,14.45
087,00035,0.543244,0.00045,14.59
088,00035,0.565100,0.00045,14.62
089,00035,0.598674,0.00045,14.84
090,00035,0.544353,0.00044,14.56
091,00035,0.553113,0.00045,14.71
092,00035,0.524204,0.00044,14.55
093,00035,0.539143,0.00044,14.66
094,00035,0.538425,0.00044,14.59
095,00035,0.561824,0.00044,14.60
096,00035,0.545336,0.00044,14.51
097,00035,0.550940,0.00044,14.56
098,00035,0.518161,0.00044,14.67
099,00035,0.551999,0.00044,14.62
100,00035,0.524383,0.00044,14.51
101,00000,0.000000,0.00000,20.33
