epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,2.306939,0.00231,89.98
002,00035,2.306996,0.00231,89.99
003,00035,2.313281,0.00231,90.00
004,00035,2.309276,0.00231,90.00
005,00035,2.308239,0.00231,90.00
006,00035,2.309078,0.00231,90.00
007,00035,2.309765,0.00231,90.00
008,00035,2.306966,0.00232,89.98
009,00035,2.308883,0.00231,90.00
010,00035,2.304764,0.00231,90.00
011,00035,2.310059,0.00230,90.00
012,00035,2.308827,0.00230,90.00
013,00035,2.308182,0.00231,90.00
014,00035,2.310361,0.00231,90.00
015,00035,2.307059,0.00231,90.00
016,00035,2.308778,0.00231,89.99
017,00035,2.309770,0.00231,90.00
018,00035,2.307505,0.00231,90.00
019,00035,2.307501,0.00231,90.00
020,00035,2.307103,0.00231,90.00
021,00035,2.306914,0.00231,90.00
022,00035,2.311950,0.00231,90.00
023,00035,2.309667,0.00231,90.00
024,00035,2.308360,0.00231,90.00
025,00035,2.310268,0.00231,90.00
026,00035,2.305924,0.00231,90.00
027,00035,2.306151,0.00231,90.00
028,00035,2.305400,0.00231,90.00
029,00035,2.305773,0.00231,90.00
030,00035,2.308246,0.00231,90.00
031,00035,2.308280,0.00231,90.00
032,00035,2.306174,0.00230,89.99
033,00035,2.307148,0.00231,90.00
034,00035,2.308091,0.00232,89.83
035,00035,2.307247,0.00231,90.00
036,00035,2.306460,0.00232,90.00
037,00035,2.303938,0.00231,90.00
038,00035,2.303192,0.00232,90.00
039,00035,2.308209,0.00231,90.00
040,00035,2.308715,0.00231,90.00
041,00035,2.307390,0.00231,90.00
042,00035,2.307077,0.00231,90.00
043,00035,2.307570,0.00230,90.00
044,00035,2.306198,0.00231,90.00
045,00035,2.303758,0.00231,90.00
046,00035,2.306133,0.00239,90.00
047,00035,2.306401,0.00230,89.99
048,00035,2.306958,0.00231,90.05
049,00035,2.302398,0.00231,90.01
050,00035,2.305811,0.00230,90.00
051,00035,2.305317,0.00230,90.00
052,00035,2.306438,0.00231,90.01
053,00035,2.305666,0.00230,90.01
054,00035,2.303632,0.00230,90.00
055,00035,2.306270,0.00231,90.00
056,00035,2.305895,0.00231,90.00
057,00035,2.304379,0.00230,90.01
058,00035,2.316092,0.00243,85.09
059,00035,1.948409,0.00185,75.14
060,00035,1.837921,0.00170,66.87
061,00035,1.772600,0.00167,65.75
062,00035,1.760246,0.00158,59.75
063,00035,1.708428,0.00155,59.98
064,00035,1.654056,0.00147,54.41
065,00035,1.650945,0.00146,54.41
066,00035,1.582353,0.00141,53.68
067,00035,1.560262,0.00141,50.61
068,00035,1.523899,0.00135,49.00
069,00035,1.536671,0.00133,48.45
070,00035,1.530198,0.00130,48.78
071,00035,1.435960,0.00124,45.28
072,00035,1.396680,0.00119,43.15
073,00035,1.349202,0.00116,41.96
074,00035,1.381524,0.00114,40.09
075,00035,1.383610,0.00112,39.43
076,00035,1.359187,0.00111,39.06
077,00035,1.333546,0.00109,38.36
078,00035,1.322030,0.00105,36.59
079,00035,1.293702,0.00105,36.54
080,00035,1.273228,0.00105,36.63
081,00036,1.266801,0.00103,35.70
082,00035,1.289268,0.00103,34.91
083,00035,1.254083,0.00102,34.35
084,00037,1.234220,0.00101,33.87
085,00035,1.246745,0.00100,33.90
086,00035,1.237833,0.00099,33.34
087,00035,1.186650,0.00099,33.43
088,00035,1.229464,0.00098,33.22
089,00035,1.250583,0.00098,33.05
090,00035,1.229953,0.00097,32.80
091,00035,1.206602,0.00098,32.75
092,00035,1.214076,0.00097,32.78
093,00035,1.217219,0.00097,32.52
094,00035,1.199603,0.00096,32.35
095,00035,1.203807,0.00096,32.40
096,00035,1.176643,0.00096,32.39
097,00035,1.207505,0.00096,32.14
098,00035,1.168541,0.00096,32.19
099,00035,1.177213,0.00096,31.98
100,00035,1.215307,0.00096,32.10
101,00000,0.000000,0.00000,37.41
