epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,1.498355,0.00120,40.68
002,00035,1.269666,0.00097,31.68
003,00035,1.141632,0.00086,28.07
004,00035,1.128211,0.00081,26.17
005,00035,1.034346,0.00076,24.52
006,00035,1.012217,0.00072,23.35
007,00035,0.976465,0.00069,22.46
008,00035,0.962399,0.00066,21.65
009,00035,0.930530,0.00065,20.99
010,00035,0.907790,0.00063,20.55
011,00035,0.896383,0.00061,19.92
012,00035,0.884003,0.00061,19.98
013,00035,0.860952,0.00059,18.90
014,00035,0.831219,0.00058,18.75
015,00035,0.799103,0.00057,18.79
016,00035,0.787999,0.00056,18.26
017,00035,0.783990,0.00055,18.11
018,00035,0.827066,0.00055,18.10
019,00035,0.768193,0.00054,17.98
020,00035,0.764121,0.00053,17.28
021,00035,0.755400,0.00054,17.58
022,00035,0.735008,0.00052,17.19
023,00035,0.735710,0.00053,17.21
024,00035,0.739649,0.00052,17.05
025,00035,0.729070,0.00050,16.88
026,00035,0.710611,0.00051,17.00
027,00035,0.728176,0.00050,16.82
028,00035,0.743272,0.00050,16.62
029,00035,0.727953,0.00049,16.28
030,00035,0.700797,0.00049,16.42
031,00035,0.695471,0.00049,16.47
032,00035,0.705696,0.00048,16.08
033,00035,0.672265,0.00048,15.86
034,00035,0.688972,0.00048,16.04
035,00035,0.659402,0.00047,15.68
036,00035,0.676234,0.00047,15.73
037,00036,0.645009,0.00047,15.64
038,00035,0.667950,0.00047,15.23
039,00035,0.640773,0.00046,15.07
040,00035,0.631841,0.00046,15.16
041,00035,0.643078,0.00045,15.32
042,00035,0.618262,0.00045,15.30
043,00035,0.624403,0.00045,15.07
044,00035,0.593948,0.00046,15.33
045,00035,0.617496,0.00045,14.95
046,00035,0.623908,0.00045,14.85
047,00035,0.610001,0.00045,14.89
048,00035,0.623061,0.00044,14.66
049,00035,0.567262,0.00044,14.79
050,00035,0.622524,0.00044,14.56
051,00035,0.623154,0.00044,14.52
052,00035,0.588636,0.00044,14.75
053,00035,0.573830,0.00044,14.43
054,00035,0.602454,0.00044,14.58
055,00035,0.570391,0.00043,14.38
056,00035,0.584561,0.00043,14.31
057,00035,0.570335,0.00043,14.21
058,00035,0.574768,0.00043,14.43
059,00035,0.539137,0.00043,14.39
060,00035,0.562350,0.00043,14.38
061,00035,0.556187,0.00043,14.46
062,00035,0.585914,0.00043,14.07
063,00035,0.552132,0.00042,14.10
064,00035,0.568742,0.00042,14.29
065,00035,0.555115,0.00042,14.20
066,00035,0.581918,0.00042,14.00
067,00035,0.580680,0.00042,14.30
068,00035,0.563609,0.00042,14.20
069,00035,0.562396,0.00042,14.13
070,00035,0.541745,0.00042,14.30
071,00035,0.554913,0.00042,14.06
072,00035,0.505483,0.00042,14.04
073,00035,0.566728,0.00042,14.11
074,00036,0.533256,0.00042,13.89
075,00035,0.554705,0.00042,14.32
076,00035,0.525518,0.00042,14.06
077,00035,0.519927,0.00042,14.14
078,00035,0.525172,0.00042,14.11
079,00035,0.540985,0.00042,14.11
080,00035,0.541547,0.00042,13.97
081,00035,0.529310,0.00041,13.92
082,00035,0.526546,0.00042,14.04
083,00035,0.492441,0.00042,13.94
084,00035,0.527119,0.00042,13.82
085,00035,0.560937,0.00042,14.03
086,00035,0.535745,0.00042,13.95
087,00035,0.542354,0.00042,14.02
088,00035,0.530838,0.00042,13.98
089,00035,0.518513,0.00042,13.97
090,00035,0.508300,0.00042,13.90
091,00035,0.548288,0.00042,14.04
092,00035,0.518701,0.00042,13.84
093,00035,0.524759,0.00042,13.97
094,00035,0.501748,0.00041,13.98
095,00035,0.545691,0.00041,14.05
096,00035,0.523902,0.00042,13.81
097,00035,0.538586,0.00042,14.04
098,00035,0.492470,0.00042,14.01
099,00035,0.536054,0.00041,13.90
100,00035,0.492470,0.00041,14.03
101,00000,0.000000,0.00000,19.90
