epoch,time(s),train_loss,test_loss,test_error(%)
001,00040,1.888288,0.00168,60.54
002,00037,1.772009,0.00153,53.71
003,00037,1.681921,0.00144,50.70
004,00037,1.572186,0.00137,47.77
005,00037,1.559756,0.00131,46.44
006,00037,1.485174,0.00126,44.55
007,00037,1.450905,0.00121,41.86
008,00037,1.445020,0.00119,40.65
009,00037,1.440908,0.00115,39.34
010,00037,1.374768,0.00112,38.62
011,00037,1.373018,0.00111,37.72
012,00037,1.322179,0.00107,36.64
013,00037,1.300384,0.00105,35.88
014,00037,1.285286,0.00101,34.75
015,00038,1.297126,0.00101,34.37
016,00037,1.289514,0.00100,33.52
017,00037,1.227983,0.00097,32.82
018,00037,1.224446,0.00096,33.02
019,00037,1.233149,0.00095,32.39
020,00037,1.177670,0.00093,31.92
021,00037,1.191804,0.00093,31.30
022,00037,1.222460,0.00092,31.26
023,00037,1.195339,0.00091,30.75
024,00037,1.129111,0.00088,30.22
025,00037,1.132635,0.00088,29.75
026,00037,1.101906,0.00087,29.95
027,00037,1.130883,0.00088,30.44
028,00037,1.138795,0.00086,29.27
029,00037,1.134512,0.00084,28.53
030,00037,1.078782,0.00084,28.76
031,00037,1.097458,0.00083,28.07
032,00037,1.083588,0.00082,28.00
033,00037,1.061507,0.00082,27.71
034,00037,1.066289,0.00080,27.06
035,00038,1.073598,0.00080,27.03
036,00037,1.032729,0.00079,27.17
037,00037,1.050132,0.00079,26.69
038,00037,1.052819,0.00078,26.32
039,00037,1.015883,0.00078,26.43
040,00037,1.047867,0.00077,26.40
041,00037,1.036814,0.00077,26.62
042,00037,1.006495,0.00076,25.79
043,00037,0.961380,0.00076,26.12
044,00038,0.996965,0.00075,25.58
045,00037,1.001558,0.00075,25.74
046,00037,1.030803,0.00074,24.79
047,00037,0.997844,0.00074,25.39
048,00037,0.916680,0.00074,25.09
049,00037,0.975340,0.00074,24.74
050,00037,0.969867,0.00073,24.72
051,00037,0.954918,0.00072,24.50
052,00038,0.953522,0.00073,24.31
053,00037,0.954977,0.00073,24.70
054,00037,0.965594,0.00072,24.48
055,00037,0.958919,0.00072,24.31
056,00037,0.955165,0.00072,24.04
057,00037,0.969723,0.00071,24.21
058,00037,0.952503,0.00070,23.65
059,00037,0.910435,0.00071,24.28
060,00037,0.951572,0.00070,23.78
061,00037,0.908304,0.00070,23.69
062,00037,0.940325,0.00070,23.72
063,00037,0.951590,0.00070,23.56
064,00037,0.932093,0.00069,23.48
065,00037,0.949379,0.00070,23.36
066,00037,0.898240,0.00069,23.43
067,00037,0.891814,0.00069,23.29
068,00037,0.900943,0.00069,23.38
069,00037,0.926186,0.00069,23.10
070,00037,0.919385,0.00068,22.80
071,00037,0.888023,0.00068,22.94
072,00037,0.899834,0.00069,23.48
073,00037,0.835432,0.00068,23.02
074,00038,0.921496,0.00068,23.02
075,00038,0.917638,0.00068,23.08
076,00037,0.923466,0.00068,22.95
077,00037,0.877690,0.00067,22.76
078,00037,0.877704,0.00067,22.77
079,00037,0.857964,0.00067,22.60
080,00037,0.879756,0.00067,22.52
081,00038,0.885332,0.00067,22.83
082,00037,0.925781,0.00067,22.64
083,00037,0.883026,0.00067,22.65
084,00037,0.870884,0.00067,22.68
085,00038,0.877435,0.00067,22.36
086,00037,0.899434,0.00067,22.59
087,00037,0.836733,0.00067,22.68
088,00037,0.881735,0.00067,22.45
089,00037,0.914842,0.00067,22.58
090,00037,0.861966,0.00067,22.44
091,00038,0.864531,0.00067,22.62
092,00037,0.901072,0.00067,22.50
093,00037,0.888519,0.00067,22.63
094,00037,0.876797,0.00067,22.43
095,00037,0.877189,0.00066,22.58
096,00037,0.875076,0.00067,22.58
097,00037,0.874488,0.00066,22.62
098,00037,0.850407,0.00067,22.50
099,00037,0.855200,0.00066,22.51
100,00037,0.851399,0.00066,22.49
101,00000,0.000000,0.00000,28.24
