epoch,time(s),train_loss,test_loss,test_error(%)
001,00038,2.305980,0.00230,90.00
002,00036,2.302432,0.00232,90.00
003,00036,2.312104,0.00231,90.00
004,00036,2.304482,0.00230,90.00
005,00036,2.304775,0.00232,90.00
006,00036,2.307761,0.00231,90.00
007,00036,2.310937,0.00231,90.00
008,00037,2.307955,0.00230,90.00
009,00036,2.304400,0.00231,90.00
010,00036,2.303096,0.00231,90.00
011,00036,2.306513,0.00231,90.00
012,00036,2.305736,0.00231,90.00
013,00036,2.306044,0.00230,90.00
014,00036,2.305191,0.00231,90.00
015,00036,2.307147,0.00230,90.00
016,00036,2.308180,0.00231,90.00
017,00036,2.305789,0.00231,90.00
018,00036,2.305550,0.00231,90.00
019,00036,2.309055,0.00232,90.00
020,00036,2.309357,0.00231,90.00
021,00036,2.309743,0.00230,90.00
022,00036,2.312037,0.00231,90.00
023,00036,2.306576,0.00231,90.00
024,00036,2.307978,0.00231,90.00
025,00036,2.307616,0.00230,90.00
026,00036,2.305541,0.00231,90.00
027,00036,2.306924,0.00230,90.00
028,00037,2.307015,0.00231,90.00
029,00036,2.304694,0.00231,90.00
030,00036,2.305214,0.00231,90.00
031,00036,2.310752,0.00230,90.00
032,00036,2.304684,0.00231,90.00
033,00036,2.307674,0.00230,90.00
034,00036,2.305673,0.00231,90.00
035,00036,2.305003,0.00231,90.00
036,00037,2.306514,0.00230,90.00
037,00036,2.304618,0.00230,90.00
038,00036,2.302219,0.00231,90.00
039,00037,2.305311,0.00230,90.00
040,00036,2.304052,0.00230,90.00
041,00036,2.306421,0.00230,90.00
042,00036,2.305220,0.00230,90.00
043,00036,2.305925,0.00231,90.00
044,00036,2.306797,0.00230,90.00
045,00036,2.305133,0.00230,90.00
046,00036,2.304835,0.00230,90.00
047,00036,2.304011,0.00230,90.00
048,00036,2.305181,0.00230,90.00
049,00036,2.305110,0.00230,90.00
050,00036,2.305895,0.00231,90.00
051,00036,2.303963,0.00230,90.00
052,00036,2.304264,0.00230,90.00
053,00036,2.304522,0.00230,90.00
054,00036,2.303495,0.00231,90.00
055,00036,2.304838,0.00230,90.00
056,00036,2.303983,0.00230,90.00
057,00036,2.303447,0.00230,90.00
058,00036,2.303465,0.00230,90.00
059,00036,2.303565,0.00230,90.00
060,00036,2.304978,0.00230,90.00
061,00036,2.303051,0.00230,90.00
062,00036,2.302174,0.00231,90.00
063,00036,2.304473,0.00230,90.00
064,00036,2.303694,0.00231,90.00
065,00036,2.301928,0.00231,90.00
066,00036,2.304150,0.00230,90.00
067,00036,2.302647,0.00231,90.00
068,00036,2.303859,0.00230,90.00
069,00036,2.302900,0.00230,90.00
070,00036,2.303626,0.00230,90.00
071,00036,2.303558,0.00230,90.00
072,00036,2.303316,0.00230,90.00
073,00036,2.302558,0.00230,90.00
074,00036,2.302205,0.00230,90.00
075,00036,2.302943,0.00230,90.00
076,00036,2.303115,0.00230,90.00
077,00036,2.302800,0.00230,90.00
078,00036,2.302296,0.00230,90.00
079,00036,2.303135,0.00230,90.00
080,00036,2.303323,0.00230,90.00
081,00036,2.302669,0.00230,90.00
082,00036,2.302697,0.00230,90.00
083,00036,2.302862,0.00230,90.00
084,00036,2.302934,0.00230,90.00
085,00036,2.302804,0.00230,90.00
086,00036,2.302494,0.00230,90.00
087,00036,2.303351,0.00230,90.00
088,00036,2.302749,0.00230,90.00
089,00036,2.302850,0.00230,90.00
090,00036,2.302662,0.00230,90.00
091,00036,2.302756,0.00230,90.00
092,00036,2.302618,0.00230,90.00
093,00036,2.302631,0.00230,90.00
094,00036,2.302612,0.00230,90.00
095,00036,2.302610,0.00230,90.00
096,00036,2.302612,0.00230,90.00
097,00036,2.302602,0.00230,90.00
098,00036,2.302586,0.00230,90.00
099,00036,2.302597,0.00230,90.00
100,00036,2.302575,0.00230,90.00
101,00000,0.000000,0.00000,90.00
