epoch,time(s),train_loss,test_loss,test_error(%)
001,00047,1.959298,0.00181,66.39
002,00056,1.721883,0.00156,57.65
003,00048,1.635459,0.00147,53.39
004,00052,1.539692,0.00137,47.75
005,00045,1.464334,0.00127,44.76
006,00054,1.391614,0.00118,42.13
007,00043,1.370064,0.00114,39.27
008,00042,1.279517,0.00105,36.84
009,00046,1.244880,0.00103,35.87
010,00041,1.193895,0.00101,33.96
011,00048,1.162997,0.00097,34.02
012,00051,1.123345,0.00090,30.38
013,00051,1.088524,0.00086,29.25
014,00044,1.053406,0.00084,28.54
015,00054,1.006051,0.00081,26.57
016,00061,0.942139,0.00078,25.76
017,00055,1.005098,0.00076,25.11
018,00049,0.904223,0.00075,25.81
019,00046,0.928706,0.00075,24.69
020,00047,0.897228,0.00068,22.92
021,00048,0.895632,0.00066,22.67
022,00052,0.870878,0.00068,23.03
023,00049,0.809137,0.00064,21.45
024,00053,0.802492,0.00062,21.17
025,00042,0.799328,0.00063,21.44
026,00053,0.807420,0.00063,20.95
027,00051,0.796942,0.00065,21.53
028,00055,0.788299,0.00060,20.25
029,00044,0.732019,0.00058,20.03
030,00053,0.724525,0.00061,20.55
031,00046,0.723501,0.00057,19.75
032,00063,0.728474,0.00058,19.13
033,00047,0.711140,0.00060,20.46
034,00045,0.692166,0.00056,19.18
035,00045,0.667090,0.00053,18.07
036,00049,0.715608,0.00054,17.74
037,00047,0.639922,0.00056,18.84
038,00045,0.655045,0.00054,18.69
039,00054,0.932368,0.00073,24.43
040,00049,0.729808,0.00057,19.44
041,00053,0.701930,0.00055,18.30
042,00051,0.650185,0.00053,17.18
043,00046,0.646943,0.00053,17.74
044,00052,0.618019,0.00051,16.90
045,00057,0.624876,0.00052,17.35
046,00048,0.620297,0.00050,16.96
047,00050,0.610890,0.00051,16.66
048,00043,0.575125,0.00050,16.67
049,00042,0.607742,0.00051,17.11
050,00053,0.600186,0.00049,16.39
051,00059,0.605240,0.00050,16.59
052,00056,0.572670,0.00049,16.08
053,00049,0.560035,0.00048,16.18
054,00057,0.526261,0.00049,16.31
055,00050,0.551223,0.00049,16.05
056,00046,0.513612,0.00048,16.60
057,00045,0.548252,0.00047,15.54
058,00050,0.543057,0.00048,15.98
059,00055,0.531201,0.00047,15.82
060,00046,0.534941,0.00047,15.75
061,00045,0.517245,0.00047,15.89
062,00057,0.518276,0.00047,15.73
063,00055,0.478008,0.00046,15.37
064,00046,0.453371,0.00046,15.35
065,00050,0.455991,0.00045,15.04
066,00057,0.484205,0.00046,15.23
067,00047,0.457272,0.00046,15.28
068,00049,0.466436,0.00045,15.00
069,00055,0.463110,0.00045,15.06
070,00052,0.477813,0.00046,15.35
071,00053,0.441509,0.00045,15.01
072,00042,0.418539,0.00046,15.26
073,00051,0.425712,0.00045,14.94
074,00048,0.448248,0.00045,14.83
075,00052,0.426685,0.00045,14.96
076,00049,0.404055,0.00044,14.72
077,00045,0.390671,0.00045,14.79
078,00046,0.377390,0.00044,14.42
079,00048,0.407523,0.00045,14.70
080,00044,0.448502,0.00044,14.53
081,00048,0.362500,0.00044,14.33
082,00057,0.387534,0.00044,14.47
083,00047,0.375860,0.00045,14.72
084,00064,0.380217,0.00044,14.64
085,00044,0.362288,0.00044,14.50
086,00047,0.362354,0.00044,14.49
087,00049,0.366439,0.00044,14.64
088,00048,0.381049,0.00044,14.35
089,00048,0.327319,0.00044,14.35
090,00052,0.350463,0.00044,14.31
091,00048,0.385287,0.00044,14.29
092,00049,0.322201,0.00044,14.45
093,00045,0.341841,0.00044,14.41
094,00050,0.325697,0.00044,14.35
095,00048,0.377335,0.00044,14.30
096,00055,0.357825,0.00044,14.20
097,00048,0.353396,0.00044,14.39
098,00046,0.327875,0.00044,14.36
099,00053,0.347897,0.00044,14.35
100,00048,0.345453,0.00044,14.35
101,00000,0.000000,0.00000,19.53
