epoch,time(s),train_loss,test_loss,test_error(%)
001,00056,0.690225,0.00047,15.77
002,00050,0.584237,0.00041,13.08
003,00055,0.582174,0.00037,11.93
004,00049,0.529478,0.00036,12.26
005,00045,0.474306,0.00035,11.42
006,00048,0.493761,0.00035,11.15
007,00049,0.436396,0.00033,11.08
008,00060,0.410640,0.00034,11.54
009,00044,0.402914,0.00033,10.86
010,00050,0.370365,0.00031,10.24
011,00045,0.390480,0.00033,11.06
012,00043,0.372396,0.00030,10.34
013,00044,0.338376,0.00031,10.74
014,00051,0.354777,0.00032,10.64
015,00046,0.315703,0.00032,10.90
016,00048,0.299158,0.00031,10.22
017,00046,0.291389,0.00031,10.32
018,00055,0.309523,0.00031,10.79
019,00047,0.254413,0.00031,10.36
020,00044,0.295328,0.00032,10.46
021,00045,0.284131,0.00032,10.55
022,00045,0.248419,0.00033,10.67
023,00046,0.231570,0.00034,10.89
024,00047,0.267948,0.00032,10.42
025,00043,0.267169,0.00031,10.18
026,00053,0.253069,0.00034,11.00
027,00046,0.252134,0.00035,10.84
028,00048,0.233293,0.00035,11.08
029,00045,0.187434,0.00033,10.41
030,00053,0.190627,0.00033,10.55
031,00051,0.201801,0.00035,10.84
032,00048,0.192300,0.00035,10.36
033,00050,0.202269,0.00036,10.84
034,00047,0.187614,0.00035,10.77
035,00051,0.187755,0.00037,11.17
036,00057,0.195019,0.00036,10.48
037,00047,0.166917,0.00037,10.46
038,00046,0.195227,0.00037,10.54
039,00049,0.182136,0.00037,10.47
040,00049,0.166866,0.00037,10.62
041,00049,0.129349,0.00039,10.50
042,00048,0.155793,0.00037,10.86
043,00045,0.166651,0.00038,10.66
044,00055,0.144838,0.00039,10.88
045,00051,0.129679,0.00038,10.34
046,00049,0.145804,0.00040,11.23
047,00054,0.127582,0.00038,10.15
048,00055,0.085544,0.00043,10.26
049,00045,0.121171,0.00039,10.47
050,00051,0.103763,0.00039,10.12
051,00046,0.106190,0.00044,10.63
052,00051,0.117687,0.00040,10.04
053,00050,0.096976,0.00043,10.30
054,00059,0.110553,0.00045,10.48
055,00046,0.094742,0.00048,10.69
056,00057,0.100235,0.00047,10.54
057,00056,0.089828,0.00045,10.25
058,00050,0.081331,0.00046,10.69
059,00053,0.086272,0.00048,10.37
060,00049,0.080498,0.00048,10.02
061,00043,0.083173,0.00049,10.17
062,00049,0.078291,0.00048,10.22
063,00051,0.103896,0.00050,10.34
064,00048,0.054780,0.00052,10.00
065,00054,0.072313,0.00051,10.33
066,00046,0.061158,0.00050,10.27
067,00051,0.057463,0.00051,9.96
068,00045,0.063099,0.00055,10.22
069,00044,0.051581,0.00054,10.45
070,00050,0.053099,0.00052,10.14
071,00042,0.065804,0.00056,10.18
072,00046,0.050587,0.00056,9.91
073,00049,0.049766,0.00056,9.99
074,00046,0.046740,0.00058,10.18
075,00045,0.036158,0.00057,9.77
076,00049,0.030632,0.00056,9.38
077,00045,0.035309,0.00057,9.44
078,00052,0.020835,0.00058,9.32
079,00048,0.035450,0.00059,9.34
080,00047,0.035816,0.00060,9.78
081,00043,0.024659,0.00060,9.58
082,00052,0.055805,0.00061,9.78
083,00051,0.022613,0.00062,9.81
084,00042,0.041237,0.00062,9.60
085,00046,0.019656,0.00061,9.48
086,00046,0.032572,0.00063,9.56
087,00045,0.026061,0.00063,9.66
088,00049,0.048605,0.00063,9.60
089,00047,0.028531,0.00063,9.59
090,00048,0.023783,0.00063,9.50
091,00049,0.024116,0.00063,9.65
092,00051,0.017817,0.00063,9.50
093,00049,0.011755,0.00063,9.56
094,00048,0.021577,0.00064,9.48
095,00048,0.042214,0.00063,9.45
096,00047,0.021359,0.00064,9.45
097,00043,0.027908,0.00063,9.36
098,00044,0.020109,0.00063,9.38
099,00048,0.020695,0.00063,9.38
100,00044,0.018637,0.00063,9.38
101,00000,0.000000,0.00000,15.68
