epoch,time(s),train_loss,test_loss,test_error(%)
001,00051,0.696677,0.00046,15.47
002,00049,0.580612,0.00039,12.75
003,00049,0.562760,0.00037,12.15
004,00052,0.529167,0.00035,11.74
005,00046,0.481615,0.00035,12.05
006,00049,0.486367,0.00034,11.70
007,00065,0.440015,0.00035,11.34
008,00047,0.416183,0.00034,11.35
009,00050,0.376766,0.00033,11.09
010,00049,0.381417,0.00033,10.87
011,00045,0.390141,0.00032,10.64
012,00045,0.354307,0.00032,10.79
013,00050,0.347845,0.00031,10.42
014,00043,0.345071,0.00032,10.81
015,00053,0.321925,0.00032,10.66
016,00051,0.302984,0.00032,10.87
017,00045,0.336519,0.00033,11.02
018,00047,0.299682,0.00033,11.22
019,00047,0.283622,0.00031,10.19
020,00047,0.295592,0.00032,10.53
021,00050,0.297717,0.00032,10.61
022,00057,0.263182,0.00034,10.92
023,00049,0.248978,0.00033,10.78
024,00048,0.252824,0.00032,10.30
025,00047,0.233938,0.00032,10.57
026,00051,0.238086,0.00035,11.17
027,00048,0.226246,0.00034,10.91
028,00059,0.211851,0.00033,10.45
029,00055,0.173924,0.00032,10.15
030,00047,0.197725,0.00033,10.47
031,00050,0.229356,0.00034,10.92
032,00049,0.181227,0.00034,9.98
033,00047,0.181089,0.00034,10.54
034,00047,0.196936,0.00034,10.08
035,00052,0.174871,0.00035,10.63
036,00049,0.190894,0.00035,10.90
037,00050,0.146853,0.00037,10.92
038,00056,0.182938,0.00036,10.40
039,00049,0.159672,0.00038,10.78
040,00053,0.145077,0.00037,10.80
041,00051,0.164188,0.00038,10.65
042,00051,0.174920,0.00035,10.41
043,00053,0.144980,0.00036,10.33
044,00061,0.137097,0.00040,10.73
045,00054,0.146101,0.00037,10.50
046,00052,0.129639,0.00038,10.27
047,00045,0.150116,0.00041,10.69
048,00048,0.121302,0.00040,9.87
049,00053,0.116811,0.00036,9.93
050,00051,0.118703,0.00038,10.20
051,00047,0.102922,0.00044,10.20
052,00052,0.119000,0.00040,10.21
053,00054,0.094822,0.00044,10.14
054,00050,0.103093,0.00041,10.24
055,00051,0.084270,0.00043,9.90
056,00046,0.080685,0.00042,9.87
057,00051,0.120520,0.00045,10.61
058,00047,0.088255,0.00045,10.21
059,00058,0.084049,0.00044,9.66
060,00052,0.095655,0.00045,9.87
061,00054,0.071102,0.00048,9.88
062,00054,0.051335,0.00044,9.45
063,00060,0.086308,0.00043,9.66
064,00057,0.051947,0.00049,9.77
065,00064,0.061822,0.00047,9.85
066,00060,0.088029,0.00051,10.26
067,00048,0.064066,0.00050,9.69
068,00053,0.055402,0.00052,9.58
069,00053,0.039641,0.00050,9.42
070,00046,0.062760,0.00051,9.64
071,00051,0.057720,0.00051,9.29
072,00044,0.071078,0.00051,9.47
073,00045,0.058771,0.00051,9.30
074,00045,0.034249,0.00052,9.17
075,00047,0.047421,0.00052,9.39
076,00049,0.035839,0.00053,9.30
077,00045,0.043488,0.00055,9.30
078,00042,0.030721,0.00053,9.14
079,00047,0.032154,0.00054,9.04
080,00045,0.029369,0.00054,8.97
081,00047,0.031794,0.00056,9.20
082,00045,0.029355,0.00057,8.96
083,00043,0.033541,0.00057,9.09
084,00053,0.029272,0.00057,9.03
085,00050,0.030290,0.00057,8.97
086,00056,0.041020,0.00057,8.80
087,00044,0.023542,0.00058,8.94
088,00049,0.041571,0.00058,8.89
089,00054,0.026609,0.00057,8.62
090,00051,0.023092,0.00057,8.71
091,00043,0.056815,0.00057,8.61
092,00055,0.031286,0.00057,8.60
093,00051,0.011896,0.00057,8.57
094,00052,0.016422,0.00057,8.54
095,00043,0.018319,0.00057,8.55
096,00051,0.030963,0.00057,8.57
097,00052,0.019343,0.00057,8.50
098,00043,0.040805,0.00057,8.50
099,00040,0.039532,0.00057,8.51
100,00048,0.019625,0.00057,8.51
101,00000,0.000000,0.00000,14.85
