epoch,time(s),train_loss,test_loss,test_error(%)
001,00040,1.723949,0.00150,53.34
002,00039,1.558430,0.00138,48.69
003,00038,1.508838,0.00132,46.70
004,00038,1.421739,0.00120,41.82
005,00038,1.346528,0.00114,40.67
006,00040,1.283012,0.00108,37.46
007,00038,1.254571,0.00105,36.94
008,00037,1.176277,0.00099,34.27
009,00040,1.151260,0.00097,34.01
010,00037,1.110596,0.00090,30.87
011,00038,1.074032,0.00091,31.84
012,00037,1.069279,0.00089,30.18
013,00038,1.033501,0.00085,28.92
014,00037,0.970562,0.00084,29.65
015,00038,0.922156,0.00080,27.88
016,00037,0.910933,0.00079,27.68
017,00039,0.908353,0.00077,26.85
018,00038,0.816348,0.00074,25.59
019,00039,0.840410,0.00074,25.29
020,00038,0.820500,0.00072,24.50
021,00038,0.782321,0.00073,25.15
022,00038,0.728548,0.00071,24.53
023,00037,0.676271,0.00069,23.78
024,00037,0.699785,0.00067,23.08
025,00037,0.655485,0.00069,23.71
026,00038,0.672637,0.00068,23.19
027,00038,0.640034,0.00068,23.25
028,00038,0.603183,0.00069,23.17
029,00038,0.534811,0.00068,22.78
030,00038,0.549865,0.00068,22.66
031,00037,0.538833,0.00068,23.27
032,00039,0.472117,0.00068,22.56
033,00041,0.510987,0.00068,22.52
034,00037,0.469259,0.00071,23.34
035,00038,0.460829,0.00072,23.06
036,00037,0.459777,0.00073,23.57
037,00038,0.420432,0.00072,22.62
038,00038,0.438048,0.00072,23.07
039,00038,0.436148,0.00071,22.68
040,00038,0.396397,0.00071,22.93
041,00038,0.406250,0.00071,22.57
042,00038,0.375830,0.00075,22.71
043,00038,0.401408,0.00073,21.91
044,00038,0.372255,0.00075,22.06
045,00037,0.356532,0.00074,22.12
046,00037,0.363180,0.00074,22.50
047,00038,0.337344,0.00077,22.29
048,00039,0.287282,0.00079,21.42
049,00038,0.287498,0.00079,21.81
050,00038,0.287084,0.00076,22.03
051,00037,0.304391,0.00079,21.90
052,00038,0.243514,0.00080,21.94
053,00037,0.288614,0.00081,21.85
054,00038,0.246550,0.00086,22.63
055,00041,0.286738,0.00085,22.55
056,00038,0.260439,0.00085,22.53
057,00038,0.248246,0.00087,22.51
058,00039,0.243287,0.00090,22.50
059,00038,0.249355,0.00088,22.02
060,00038,0.226623,0.00091,22.25
061,00040,0.266409,0.00093,21.97
062,00039,0.203602,0.00097,22.11
063,00037,0.215149,0.00096,22.28
064,00037,0.184986,0.00098,21.40
065,00038,0.187475,0.00094,21.30
066,00038,0.222488,0.00099,21.60
067,00037,0.178134,0.00105,21.63
068,00037,0.187598,0.00102,21.53
069,00038,0.190896,0.00104,21.58
070,00037,0.198295,0.00108,21.82
071,00038,0.160633,0.00113,21.70
072,00038,0.145750,0.00114,21.59
073,00038,0.142667,0.00117,21.86
074,00038,0.128776,0.00110,21.42
075,00039,0.169721,0.00119,21.27
076,00037,0.150774,0.00118,21.29
077,00042,0.109786,0.00123,21.50
078,00037,0.117554,0.00131,21.60
079,00037,0.130441,0.00133,21.38
080,00038,0.175360,0.00128,21.26
081,00039,0.133521,0.00131,21.36
082,00038,0.139466,0.00130,21.56
083,00038,0.115189,0.00133,21.14
084,00038,0.127068,0.00136,21.02
085,00037,0.126312,0.00138,21.47
086,00038,0.085417,0.00141,21.03
087,00038,0.083612,0.00143,21.35
088,00039,0.124897,0.00144,21.00
089,00040,0.104900,0.00144,20.87
090,00040,0.103959,0.00144,21.05
091,00039,0.101340,0.00146,21.04
092,00037,0.081380,0.00146,21.21
093,00037,0.101057,0.00147,21.11
094,00039,0.107364,0.00146,21.14
095,00038,0.108156,0.00147,21.13
096,00037,0.115074,0.00146,21.16
097,00037,0.128541,0.00146,21.09
098,00038,0.083776,0.00146,21.08
099,00037,0.101660,0.00146,21.13
100,00038,0.077945,0.00146,21.14
101,00000,0.000000,0.00000,26.29
