epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,0.643927,0.00044,13.54
002,00036,0.542328,0.00037,11.34
003,00036,0.508034,0.00033,10.68
004,00036,0.461785,0.00030,10.03
005,00036,0.419905,0.00028,9.48
006,00036,0.401003,0.00027,8.78
007,00036,0.375100,0.00026,8.85
008,00036,0.308629,0.00025,8.59
009,00036,0.319789,0.00024,8.44
010,00036,0.280059,0.00024,8.34
011,00036,0.313605,0.00024,8.16
012,00036,0.280874,0.00023,7.97
013,00036,0.275035,0.00023,8.16
014,00036,0.245509,0.00023,7.88
015,00036,0.234853,0.00023,7.99
016,00036,0.219113,0.00024,8.15
017,00036,0.241791,0.00025,8.35
018,00036,0.198368,0.00023,7.88
019,00036,0.215323,0.00024,8.12
020,00036,0.196318,0.00024,8.21
021,00036,0.190725,0.00025,8.53
022,00036,0.180256,0.00024,8.23
023,00036,0.179538,0.00025,8.08
024,00036,0.166943,0.00024,8.11
025,00036,0.142253,0.00026,8.18
026,00036,0.175585,0.00025,7.94
027,00036,0.168578,0.00026,8.25
028,00036,0.182492,0.00025,8.08
029,00036,0.152501,0.00026,8.10
030,00036,0.122218,0.00026,7.99
031,00036,0.121243,0.00027,8.05
032,00036,0.118017,0.00027,8.59
033,00036,0.136811,0.00027,8.33
034,00036,0.126159,0.00027,7.88
035,00036,0.132154,0.00028,8.13
036,00036,0.115358,0.00028,8.24
037,00036,0.104657,0.00029,8.47
038,00036,0.116687,0.00029,8.41
039,00036,0.121028,0.00028,8.06
040,00036,0.112644,0.00029,8.10
041,00036,0.127630,0.00030,8.17
042,00036,0.098472,0.00031,8.31
043,00036,0.105761,0.00031,8.18
044,00036,0.084670,0.00031,8.28
045,00036,0.096060,0.00031,8.47
046,00036,0.108086,0.00031,8.11
047,00036,0.096840,0.00032,8.21
048,00036,0.068675,0.00031,7.91
049,00036,0.099043,0.00031,7.93
050,00036,0.090808,0.00031,8.02
051,00036,0.086834,0.00032,8.00
052,00036,0.075976,0.00033,8.01
053,00036,0.070779,0.00032,8.05
054,00036,0.062008,0.00033,8.01
055,00036,0.076134,0.00033,7.94
056,00036,0.069767,0.00034,8.09
057,00036,0.065754,0.00034,8.22
058,00036,0.067955,0.00035,8.08
059,00036,0.081508,0.00035,8.09
060,00036,0.092760,0.00035,8.00
061,00036,0.057078,0.00034,8.05
062,00036,0.064823,0.00035,7.98
063,00036,0.080113,0.00035,7.87
064,00036,0.049147,0.00035,7.74
065,00036,0.056822,0.00034,7.65
066,00036,0.056831,0.00034,7.72
067,00036,0.057017,0.00035,7.89
068,00036,0.034942,0.00036,7.80
069,00036,0.058515,0.00036,7.67
070,00036,0.059863,0.00036,7.90
071,00036,0.050049,0.00036,8.00
072,00036,0.058321,0.00036,7.96
073,00036,0.046753,0.00036,7.86
074,00036,0.051351,0.00036,7.73
075,00036,0.075622,0.00035,7.79
076,00036,0.033508,0.00035,7.73
077,00036,0.028166,0.00035,7.62
078,00036,0.023138,0.00035,7.66
079,00036,0.032233,0.00036,7.79
080,00036,0.041106,0.00036,7.70
081,00036,0.034325,0.00036,7.54
082,00036,0.035155,0.00036,7.64
083,00036,0.028167,0.00036,7.63
084,00036,0.041000,0.00036,7.64
085,00036,0.043304,0.00036,7.72
086,00036,0.026440,0.00036,7.80
087,00036,0.034816,0.00036,7.68
088,00036,0.066412,0.00036,7.68
089,00036,0.045915,0.00036,7.72
090,00036,0.055137,0.00036,7.64
091,00036,0.051667,0.00036,7.62
092,00036,0.029437,0.00036,7.58
093,00036,0.015766,0.00036,7.67
094,00036,0.046223,0.00036,7.64
095,00036,0.045352,0.00036,7.61
096,00036,0.039132,0.00036,7.70
097,00036,0.036905,0.00036,7.68
098,00036,0.034998,0.00036,7.66
099,00036,0.026671,0.00036,7.65
100,00036,0.025287,0.00036,7.65
101,00000,0.000000,0.00000,13.07
