epoch,time(s),train_loss,test_loss,test_error(%)
001,00037,1.851456,0.00162,55.96
002,00036,1.699236,0.00152,53.99
003,00036,1.679775,0.00145,51.79
004,00036,1.582839,0.00137,49.16
005,00036,1.551064,0.00135,47.80
006,00036,1.520659,0.00128,44.84
007,00036,1.468585,0.00125,43.84
008,00036,1.409136,0.00122,42.88
009,00036,1.418112,0.00118,40.77
010,00036,1.382912,0.00116,40.24
011,00036,1.345706,0.00115,40.03
012,00036,1.331661,0.00112,39.32
013,00036,1.302144,0.00109,38.32
014,00036,1.283899,0.00108,37.93
015,00036,1.239712,0.00104,36.30
016,00036,1.216045,0.00104,35.72
017,00036,1.245586,0.00101,35.64
018,00036,1.155942,0.00100,34.86
019,00036,1.179708,0.00098,33.83
020,00036,1.169028,0.00096,33.11
021,00036,1.123426,0.00095,32.96
022,00036,1.116496,0.00094,32.81
023,00036,1.063561,0.00092,32.39
024,00036,1.065138,0.00091,31.26
025,00036,1.050627,0.00090,31.66
026,00036,1.057462,0.00089,30.94
027,00036,1.000320,0.00088,30.41
028,00036,1.019858,0.00087,30.69
029,00036,0.929728,0.00085,29.56
030,00036,0.942984,0.00084,29.48
031,00036,0.918693,0.00084,29.37
032,00037,0.903680,0.00083,29.07
033,00036,0.906330,0.00082,28.59
034,00036,0.861643,0.00083,29.01
035,00036,0.864929,0.00081,28.40
036,00036,0.886318,0.00080,28.24
037,00036,0.814669,0.00080,28.16
038,00036,0.819098,0.00080,27.71
039,00036,0.808459,0.00079,27.50
040,00036,0.749666,0.00078,27.22
041,00036,0.744241,0.00079,27.46
042,00036,0.740762,0.00079,27.14
043,00036,0.727514,0.00078,26.94
044,00036,0.720416,0.00080,27.82
045,00036,0.703928,0.00078,26.64
046,00036,0.669516,0.00078,26.46
047,00036,0.675770,0.00079,26.75
048,00036,0.625258,0.00078,26.63
049,00036,0.647297,0.00079,26.17
050,00036,0.611710,0.00079,26.48
051,00036,0.628097,0.00078,26.37
052,00036,0.589625,0.00080,26.48
053,00036,0.563142,0.00080,26.49
054,00036,0.535382,0.00080,26.20
055,00036,0.559219,0.00080,26.33
056,00036,0.517238,0.00079,25.96
057,00036,0.530439,0.00081,26.29
058,00036,0.533468,0.00081,26.24
059,00036,0.554520,0.00081,25.91
060,00036,0.487000,0.00082,26.39
061,00036,0.511293,0.00084,26.62
062,00036,0.480645,0.00084,26.32
063,00036,0.435801,0.00084,26.34
064,00036,0.414858,0.00084,26.42
065,00036,0.420253,0.00084,26.05
066,00036,0.428537,0.00086,26.41
067,00036,0.414766,0.00085,26.47
068,00036,0.399513,0.00085,26.01
069,00036,0.373036,0.00086,26.17
070,00036,0.406550,0.00087,26.04
071,00036,0.375209,0.00087,26.00
072,00036,0.374739,0.00088,25.98
073,00036,0.358751,0.00088,25.82
074,00036,0.390214,0.00089,26.11
075,00036,0.411669,0.00089,26.02
076,00036,0.333358,0.00089,26.07
077,00036,0.342614,0.00090,26.03
078,00036,0.304685,0.00090,26.16
079,00036,0.341777,0.00091,26.00
080,00036,0.380264,0.00091,25.99
081,00036,0.316200,0.00092,26.19
082,00036,0.305907,0.00092,26.17
083,00036,0.342272,0.00092,26.05
084,00036,0.339980,0.00092,25.89
085,00036,0.310953,0.00092,25.78
086,00036,0.306421,0.00092,25.99
087,00036,0.278383,0.00093,25.99
088,00036,0.295509,0.00093,25.91
089,00036,0.297129,0.00093,26.00
090,00036,0.298796,0.00093,26.16
091,00036,0.312122,0.00093,25.93
092,00036,0.263063,0.00093,26.01
093,00036,0.299859,0.00093,25.86
094,00036,0.288289,0.00094,25.96
095,00036,0.287282,0.00094,25.96
096,00036,0.292943,0.00094,25.96
097,00036,0.308688,0.00094,26.05
098,00036,0.294743,0.00094,26.03
099,00036,0.290175,0.00094,26.05
100,00036,0.291280,0.00094,26.05
101,00000,0.000000,0.00000,31.40
